Titre,QID_ouvrage,Auteur,image,QID_Auteur,pays de nationalité,Nationalité,EAN,mois_début,jour_début,Année_début,date_début,mois_fin,jour_fin,année_fin,date_fin,ecart_date,Genre auteur,Format,Pages,Editeur
Terra Alta,,Javier Cercas,Javier Cercas (2019)II.jpg,Q381920,Espagne,Espagnole,9782330150143,7,23,2022,2022-07-23T00:00:00Z,7,26,2022,2022-07-26T00:00:00Z,3,M,Ebook,320,Actes Sud
Indépendance,,Javier Cercas,Javier Cercas (2019)II.jpg,Q381920,Espagne,Espagnole,9782330165437,7,26,2022,2022-07-26T00:00:00Z,8,2,2022,2022-08-02T00:00:00Z,7,M,Ebook,352,Actes Sud
Les Lois de la frontière,Q16589523,Javier Cercas,Javier Cercas (2019)II.jpg,Q381920,Espagne,Espagnole,9782330027100,5,24,2021,2021-05-24T00:00:00Z,5,28,2021,2021-05-28T00:00:00Z,4,M,Broché,352,Actes Sud
Vie de Gérard Fulmard,Q81035136,Jean Echenoz,Jean Echenoz (2016).png,Q353882,France,Française,9782707345875,8,19,2020,2020-08-19T00:00:00Z,8,21,2020,2020-08-21T00:00:00Z,2,M,Ebook,240,Minuit
Dans la forêt,,Jean Hegland,Jean Hegland.tif,Q22004865,États-Unis,Américaine,9782351786444,6,30,2023,2023-06-30T00:00:00Z,7,6,2023,2023-07-06T00:00:00Z,6,F,Ebook,320,Gallmeister
La Grande escapade,,Jean-Philippe Blondel,Jean-Philippe Blondel-Festival international de géographie 2011 (2).jpg,Q3168750,France,Française,9782283031834,6,27,2021,2021-06-27T00:00:00Z,7,6,2021,2021-07-06T00:00:00Z,9,M,Ebook,72,Buchet-Chastel
Un si petit monde,,Jean-Philippe Blondel,Jean-Philippe Blondel-Festival international de géographie 2011 (2).jpg,Q3168750,France,Française,9782283034088,9,15,2021,2021-09-15T00:00:00Z,9,19,2021,2021-09-19T00:00:00Z,4,M,Ebook,256,Buchet-Chastel
Tous ceux qui tombent,,Jérémie Foa,,Q45832557,France,Française,9782348057885,12,6,2021,2021-12-06T00:00:00Z,12,14,2021,2021-12-14T00:00:00Z,8,M,Ebook,352,La Découverte
Girandulata,,Jérôme Colonna d’Istria,,,,Française,9782361572945,2,26,2022,2022-02-26T00:00:00Z,2,27,2022,2022-02-27T00:00:00Z,1,M,Broché,200,Transboréal
L’Amérique,,Joan Didion,Joan Didion at the Brooklyn Book Festival.jpg,Q267691,États-Unis,Américaine,9782253156499,11,19,2022,2022-11-19T00:00:00Z,11,27,2022,2022-11-27T00:00:00Z,8,F,Broché,336,Grasset
Enquête sur les pratiques savantes ordinaires,,Joëlle Le Marec et François Mairesse,,,,Française,9782356875143,1,1,2022,2022-01-01T00:00:00Z,1,1,2022,2022-01-01T00:00:00Z,0,C,Broché,136,Le Bord de l’eau
1919,Q42186888,John Dos Passos,John dos Passos.jpg,Q312407,États-Unis,Américaine,9782072836282,7,30,2021,2021-07-30T00:00:00Z,8,12,2021,2021-08-12T00:00:00Z,13,M,Ebook,560,Gallimard
Le 42e Parallèle,Q20664267,John Dos Passos,John dos Passos.jpg,Q312407,États-Unis,Américaine,9782070376940,2,9,2021,2021-02-09T00:00:00Z,2,28,2021,2021-02-28T00:00:00Z,19,M,Broché,484,Gallimard
La guerre de Sécession,,John Keegan,,Q363722,Royaume-Uni,Américaine,9782262032494,1,12,2022,2022-01-12T00:00:00Z,1,31,2022,2022-01-31T00:00:00Z,19,M,Ebook,516,Perrin
